Epoch: [3][100/203], lr: 0.00100	Time 0.493 (0.629)	Data 0.000 (0.143)	Loss 0.0009 (0.1389)	Prec@1 100.000 (94.926)	Prec@2 100.000 (98.639)
Epoch: [3][120/203], lr: 0.00100	Time 0.500 (0.605)	Data 0.000 (0.119)	Loss 0.0827 (0.1397)	Prec@1 100.000 (94.938)	Prec@2 100.000 (98.760)
Epoch: [3][140/203], lr: 0.00100	Time 0.484 (0.588)	Data 0.000 (0.102)	Loss 0.3729 (0.1351)	Prec@1 87.500 (94.947)	Prec@2 100.000 (98.848)
Epoch: [3][160/203], lr: 0.00100	Time 0.484 (0.575)	Data 0.000 (0.090)	Loss 0.0322 (0.1373)	Prec@1 100.000 (94.643)	Prec@2 100.000 (98.758)
Epoch: [3][180/203], lr: 0.00100	Time 0.484 (0.565)	Data 0.000 (0.080)	Loss 0.0243 (0.1411)	Prec@1 100.000 (94.406)	Prec@2 100.000 (98.757)
Epoch: [3][200/203], lr: 0.00100	Time 0.484 (0.557)	Data 0.000 (0.072)	Loss 0.0524 (0.1381)	Prec@1 100.000 (94.590)	Prec@2 100.000 (98.881)
Test: [0/88]	Time 14.044 (14.044)	Loss 0.0001 (0.0001)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Test: [20/88]	Time 0.141 (0.829)	Loss 0.0000 (0.0000)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Test: [40/88]	Time 0.156 (0.500)	Loss 0.0000 (0.0003)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Test: [60/88]	Time 0.141 (0.386)	Loss 0.0000 (0.0002)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Test: [80/88]	Time 0.156 (0.327)	Loss 0.0793 (0.0179)	Prec@1 100.000 (99.537)	Prec@2 100.000 (100.000)
Testing Results: Prec@1 99.143 Prec@2 100.000 Loss 0.02792
Best Prec@1: 100.000

Epoch: [4][0/203], lr: 0.00100	Time 14.981 (14.981)	Data 14.481 (14.481)	Loss 0.3498 (0.3498)	Prec@1 87.500 (87.500)	Prec@2 100.000 (100.000)
