frame 246 : x_571.7124366760254, y_400.1309323310852
frame 247 : x_571.6453170776367, y_432.0787024497986
frame 248 : x_573.2487487792969, y_474.026734828949
frame 249 : x_574.817008972168, y_511.9318628311157
frame 250 : x_575.776195526123, y_478.3210802078247
frame 251 : x_576.9482421875, y_445.4141306877136
frame 252 : x_578.1869506835938, y_419.0057873725891
frame 253 : x_579.7592163085938, y_400.9426760673523
frame 254 : x_582.4941444396973, y_388.6732542514801
frame 255 : x_584.4772338867188, y_391.284384727478
frame 256 : x_583.500804901123, y_408.9996886253357
frame 257 : x_577.5882720947266, y_445.02445936203003
frame 258 : x_571.5682792663574, y_490.23075342178345
frame 259 : x_567.8199005126953, y_498.8092088699341
frame 260 : x_565.3606414794922, y_463.277792930603
frame 261 : x_563.4231185913086, y_431.59369468688965
frame 262 : x_563.2908821105957, y_407.8480124473572
frame 263 : x_566.2213516235352, y_388.3812475204468
frame 264 : x_571.7664527893066, y_374.32904720306396
frame 265 : x_578.0551147460938, y_371.4124023914337
frame 266 : x_581.3520431518555, y_383.8841700553894
frame 267 : x_582.0705604553223, y_415.60991764068604
frame 268 : x_580.7486724853516, y_461.32145404815674
frame 269 : x_579.4769668579102, y_510.09180307388306
frame 270 : x_578.6423110961914, y_489.29086446762085
frame 271 : x_578.148193359375, y_452.450315952301
frame 272 : x_578.5540008544922, y_421.6224002838135
frame 273 : x_580.6889533996582, y_401.07197999954224
frame 274 : x_584.3914413452148, y_386.3530683517456
frame 275 : x_588.4168434143066, y_385.59629917144775
frame 276 : x_588.3463287353516, y_402.7826714515686
frame 277 : x_584.9634552001953, y_435.4357981681824
frame 278 : x_577.7243423461914, y_478.41261863708496
frame 279 : x_572.8730392456055, y_508.8760542869568
frame 280 : x_570.5337905883789, y_472.00690269470215
frame 281 : x_567.926139831543, y_438.6829876899719
frame 282 : x_567.9025459289551, y_413.62622022628784
frame 283 : x_569.903678894043, y_396.6882848739624
frame 284 : x_574.9439430236816, y_386.41555309295654
frame 285 : x_578.5106658935547, y_388.92799973487854
frame 286 : x_578.9204597473145, y_407.00191497802734
frame 287 : x_576.8100357055664, y_440.98400115966797
frame 288 : x_574.8492813110352, y_487.25661277770996
frame 289 : x_574.578685760498, y_500.68325757980347
frame 290 : x_575.5357933044434, y_465.10399103164673
frame 291 : x_576.4551544189453, y_434.1456341743469
frame 292 : x_577.7666854858398, y_410.61991453170776
frame 293 : x_580.4013442993164, y_394.85979080200195
frame 294 : x_584.0384483337402, y_386.5963876247406
frame 295 : x_586.025505065918, y_393.119637966156
frame 296 : x_584.8430633544922, y_416.29860162734985
frame 297 : x_580.691967010498, y_453.3968997001648
frame 298 : x_578.4856414794922, y_496.27864122390747
frame 299 : x_577.0772552490234, y_494.03011322021484
frame 300 : x_575.075855255127, y_459.07487869262695
frame 301 : x_572.9729652404785, y_430.98931789398193
frame 302 : x_572.124195098877, y_409.62711095809937
frame 303 : x_574.1219329833984, y_395.7894444465637
frame 304 : x_578.4631156921387, y_388.4552764892578
frame 305 : x_580.0858306884766, y_394.60912227630615
frame 306 : x_579.5948219299316, y_417.6963973045349
frame 307 : x_576.1478614807129, y_456.0730576515198
frame 308 : x_572.9194641113281, y_500.5780076980591
frame 309 : x_571.529426574707, y_492.3121905326843
frame 310 : x_570.078182220459, y_457.1694803237915
frame 311 : x_568.437614440918, y_428.65159034729004
frame 312 : x_570.2007293701172, y_405.60051441192627
frame 313 : x_573.6867713928223, y_389.9883842468262
frame 314 : x_578.6532402038574, y_381.28360748291016
frame 315 : x_580.2976417541504, y_384.6783721446991
frame 316 : x_580.7324409484863, y_406.0665965080261
frame 317 : x_577.9006576538086, y_444.9768662452698
frame 318 : x_575.7785606384277, y_489.39120054244995
frame 319 : x_575.3475189208984, y_500.4943871498108
frame 320 : x_574.720344543457, y_463.70874881744385
frame 321 : x_575.7166290283203, y_417.52739667892456
frame 322 : x_576.8416786193848, y_396.7014169692993
frame 323 : x_579.8209381103516, y_380.9264659881592
frame 324 : x_583.1537246704102, y_375.53882002830505
frame 325 : x_586.154670715332, y_385.0090456008911
frame 326 : x_586.0708808898926, y_411.7169380187988
frame 327 : x_582.0680618286133, y_453.1317472457886
frame 328 : x_578.5883903503418, y_498.7502431869507
frame 329 : x_577.8559494018555, y_493.3294987678528
frame 330 : x_577.9428100585938, y_456.82180166244507
frame 331 : x_578.2393646240234, y_424.895703792572
frame 332 : x_579.7419548034668, y_401.9931364059448
frame 333 : x_582.4325942993164, y_384.6955597400665
frame 334 : x_586.8329811096191, y_374.12731289863586
frame 335 : x_589.8665809631348, y_377.21447110176086
frame 336 : x_590.5043411254883, y_395.70091009140015
frame 337 : x_587.6115417480469, y_429.4788694381714
frame 338 : x_586.1668014526367, y_473.00296783447266
frame 339 : x_586.9401550292969, y_513.8129281997681
frame 340 : x_585.8169364929199, y_477.09805727005005
frame 341 : x_585.6426620483398, y_441.6253924369812
frame 342 : x_587.927188873291, y_415.376501083374
frame 343 : x_590.6228256225586, y_395.366792678833
frame 344 : x_595.7557106018066, y_380.9200716018677
frame 345 : x_599.2702674865723, y_378.38741183280945
frame 346 : x_600.0060272216797, y_392.8760290145874
frame 347 : x_596.1966705322266, y_419.3008089065552
frame 348 : x_586.8531036376953, y_458.76142501831055
frame 349 : x_579.7920989990234, y_505.26298999786377
frame 350 : x_575.6653785705566, y_487.67338514328003
frame 351 : x_572.1722793579102, y_453.0831027030945
frame 352 : x_568.6735534667969, y_425.3530526161194
frame 353 : x_568.3103561401367, y_403.18259954452515
frame 354 : x_570.3217697143555, y_387.0881652832031
frame 355 : x_571.4934539794922, y_378.53840947151184
frame 356 : x_575.9784507751465, y_379.510098695755
frame 357 : x_577.4468231201172, y_395.8366298675537
frame 358 : x_576.3017272949219, y_432.7729868888855
frame 359 : x_575.767822265625, y_480.38397789001465
frame 360 : x_574.2186546325684, y_507.9733729362488
frame 361 : x_575.6137275695801, y_468.9350652694702
frame 362 : x_574.9945640563965, y_435.47184705734253
frame 363 : x_576.3711166381836, y_410.84657192230225
frame 364 : x_579.4267272949219, y_393.14246892929077
frame 365 : x_583.5000991821289, y_382.53830194473267
frame 366 : x_586.7401504516602, y_384.4829034805298
frame 367 : x_586.4109420776367, y_401.4163541793823
frame 368 : x_582.8153991699219, y_433.95386695861816
frame 369 : x_579.540958404541, y_475.0297522544861
